Channel Id,Channel Url,Channel Title
UCEVqWlzjOOPgVjySBIHDbuw,http://www.youtube.com/channel/UCEVqWlzjOOPgVjySBIHDbuw,HAXWARE
UCFctpiB_Hnlk3ejWfHqSm6Q,http://www.youtube.com/channel/UCFctpiB_Hnlk3ejWfHqSm6Q,The Official Pokémon YouTube channel
UCFsUH7Zyy0UXAfv6KQGq9eg,http://www.youtube.com/channel/UCFsUH7Zyy0UXAfv6KQGq9eg,Noggi
UCG2IoSJBUhrGL8fb5stMCWw,http://www.youtube.com/channel/UCG2IoSJBUhrGL8fb5stMCWw,Gonkee
UCGNm2vGRTPwbO0Q6u-X7MuA,http://www.youtube.com/channel/UCGNm2vGRTPwbO0Q6u-X7MuA,Morphcat Games
UCGfL3vST1HqNWTR0cdIek2g,http://www.youtube.com/channel/UCGfL3vST1HqNWTR0cdIek2g,Kreativs
UCGt7X90Au6BV8rf49BiM6Dg,http://www.youtube.com/channel/UCGt7X90Au6BV8rf49BiM6Dg,Ray William Johnson
UCGwu0nbY2wSkW8N-cghnLpA,http://www.youtube.com/channel/UCGwu0nbY2wSkW8N-cghnLpA,JaidenAnimations
UCH6Xtt4GpcQXjOq0_PTDhAw,http://www.youtube.com/channel/UCH6Xtt4GpcQXjOq0_PTDhAw,Dan Povenmire
UCHF0LnznV3h05fkHVEq3MaA,http://www.youtube.com/channel/UCHF0LnznV3h05fkHVEq3MaA,DevBanana
UCHMyJmk7LeN2nNq5zZIP3zA,http://www.youtube.com/channel/UCHMyJmk7LeN2nNq5zZIP3zA,justmehabibi
UCHYoe8kQ-7Gn9ASOlmI0k6Q,http://www.youtube.com/channel/UCHYoe8kQ-7Gn9ASOlmI0k6Q,The Food Theorists
UCHviy1jiUrpjQHa8dlAxgCQ,http://www.youtube.com/channel/UCHviy1jiUrpjQHa8dlAxgCQ,marmalade
UCIPvxxHtvyQ4fSTj5JWpzog,http://www.youtube.com/channel/UCIPvxxHtvyQ4fSTj5JWpzog,Don Stever
UCIn1EsSr4rgSznqrKtteQgA,http://www.youtube.com/channel/UCIn1EsSr4rgSznqrKtteQgA,TheAnimeMen
UCItmdidH5F7D7rugtcBpArw,http://www.youtube.com/channel/UCItmdidH5F7D7rugtcBpArw,Kenney
UCLMkh2PYXpQh52d3m2bzNNA,http://www.youtube.com/channel/UCLMkh2PYXpQh52d3m2bzNNA,KeshArt
UCLweX1UtQjRjj7rs_0XQ2Eg,http://www.youtube.com/channel/UCLweX1UtQjRjj7rs_0XQ2Eg,Game Endeavor
UCMLJ_TROV89ll587opuuY4w,http://www.youtube.com/channel/UCMLJ_TROV89ll587opuuY4w,Saultoons
UCMO0IVUke1WB3cffqL1RggA,http://www.youtube.com/channel/UCMO0IVUke1WB3cffqL1RggA,Extra BaM Animation
UCMVcYoUUcnPfQM4YC6jGBtQ,http://www.youtube.com/channel/UCMVcYoUUcnPfQM4YC6jGBtQ,John Gaye
UCMgz6xKnRhknj0QZn4kyhdA,http://www.youtube.com/channel/UCMgz6xKnRhknj0QZn4kyhdA,charusharu
UCMnULQ6F6kLDAHxofDWIbrw,http://www.youtube.com/channel/UCMnULQ6F6kLDAHxofDWIbrw,Pirate Software
UCN-qGJtXJCiG0mMXR2fga6A,http://www.youtube.com/channel/UCN-qGJtXJCiG0mMXR2fga6A,Jaiden
UCNdNkUfhFfzBtKRU_5QgUvw,http://www.youtube.com/channel/UCNdNkUfhFfzBtKRU_5QgUvw,kekeflipnote
UCNki4tdtDzrZLUyW18_ppoQ,http://www.youtube.com/channel/UCNki4tdtDzrZLUyW18_ppoQ,PaPaSea
UCNvAdbMJ5wjzKG3Iub1Q7GA,http://www.youtube.com/channel/UCNvAdbMJ5wjzKG3Iub1Q7GA,Zackary Smigel
UCORkUj9eaM2aDJM1VYyDDTA,http://www.youtube.com/channel/UCORkUj9eaM2aDJM1VYyDDTA,Sam Hogan
UCOUykBZFKfgqAkdyEY8JLHg,http://www.youtube.com/channel/UCOUykBZFKfgqAkdyEY8JLHg,Addy Valentine
UCOYWgypDktXdb-HfZnSMK6A,http://www.youtube.com/channel/UCOYWgypDktXdb-HfZnSMK6A,TomSka
UCPHeAtHSXnymNh8b_Kkj2rw,http://www.youtube.com/channel/UCPHeAtHSXnymNh8b_Kkj2rw,Cherdleys
UCPYtQkET_jYxFvXe34YI3_w,http://www.youtube.com/channel/UCPYtQkET_jYxFvXe34YI3_w,Joey Carlino
UCPdBQvBXN2iHIyFpamNHyJA,http://www.youtube.com/channel/UCPdBQvBXN2iHIyFpamNHyJA,Jett Lee
UCQALLeQPoZdZC4JNUboVEUg,http://www.youtube.com/channel/UCQALLeQPoZdZC4JNUboVEUg,Jabrils
UCQSskW1S07KnC3m91hEgFOw,http://www.youtube.com/channel/UCQSskW1S07KnC3m91hEgFOw,Jesse J. Jones
UCQfbjXwtGuJ-7hDMmAm1-rA,http://www.youtube.com/channel/UCQfbjXwtGuJ-7hDMmAm1-rA,Alex
UCRBkeMoYX02w-0qVIKNkruw,http://www.youtube.com/channel/UCRBkeMoYX02w-0qVIKNkruw,PeanutButterGamer
